Fecha: 11:26 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\listado.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 11:26 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 11:26 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 4 | Usuario: A8Alumno07 | IP: ::1
Fecha: 11:28 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 4 | Usuario: A8Alumno07 | IP: ::1
Fecha: 11:28 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:09 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:10 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\password.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:10 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:10 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\password.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:31 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 4 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:31 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\index.php | Línea: 4 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:31 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:32 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:33 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:33 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
Fecha: 12:34 05-12-2025 | Mensaje: session_start(): Ignoring session_start() because a session is already active | Archivo: C:\Users\Alumno.DESKTOP-DI5KTUG\Desktop\ServidorPHP\Sesion3\BBDD\profile.php | Línea: 3 | Usuario: A8Alumno07 | IP: ::1
